,AreaId,Geometry
17948,230338,"MULTIPOLYGON(((-74.009941702597 40.7077707303186,-74.0090781627161 40.7089045260726,-74.0073510829543 40.7089045260726,-74.0064875430734 40.7077707303186,-74.0073510829543 40.706636915261,-74.0090781627161 40.706636915261,-74.009941702597 40.7077707303186)))"
17949,230339,"MULTIPOLYGON(((-74.009941702597 40.7100383025227,-74.0090781627161 40.7111720596689,-74.0073510829543 40.7111720596689,-74.0064875430734 40.7100383025227,-74.0073510829543 40.7089045260726,-74.0090781627161 40.7089045260726,-74.009941702597 40.7100383025227)))"
17950,230340,"MULTIPOLYGON(((-74.009941702597 40.712305797511,-74.0090781627161 40.713439516049,-74.0073510829543 40.713439516049,-74.0064875430734 40.712305797511,-74.0073510829543 40.7111720596689,-74.0090781627161 40.7111720596689,-74.009941702597 40.712305797511)))"
17951,230341,"MULTIPOLYGON(((-74.009941702597 40.7145732152828,-74.0090781627161 40.7157068952121,-74.0073510829543 40.7157068952121,-74.0064875430734 40.7145732152828,-74.0073510829543 40.713439516049,-74.0090781627161 40.713439516049,-74.009941702597 40.7145732152828)))"
17952,230342,"MULTIPOLYGON(((-74.009941702597 40.7168405558369,-74.0090781627161 40.7179741971571,-74.0073510829543 40.7179741971571,-74.0064875430734 40.7168405558369,-74.0073510829543 40.7157068952121,-74.0090781627161 40.7157068952121,-74.009941702597 40.7168405558369)))"
17953,230343,"MULTIPOLYGON(((-74.009941702597 40.7191078191726,-74.0090781627161 40.7202414218832,-74.0073510829543 40.7202414218832,-74.0064875430734 40.7191078191726,-74.0073510829543 40.7179741971571,-74.0090781627161 40.7179741971571,-74.009941702597 40.7191078191726)))"
17954,230344,"MULTIPOLYGON(((-74.009941702597 40.7213750052889,-74.0090781627161 40.7225085693895,-74.0073510829543 40.7225085693895,-74.0064875430734 40.7213750052889,-74.0073510829543 40.7202414218832,-74.0090781627161 40.7202414218832,-74.009941702597 40.7213750052889)))"
17955,230345,"MULTIPOLYGON(((-74.009941702597 40.7236421141849,-74.0090781627161 40.7247756396749,-74.0073510829543 40.7247756396749,-74.0064875430734 40.7236421141849,-74.0073510829543 40.7225085693895,-74.0090781627161 40.7225085693895,-74.009941702597 40.7236421141849)))"
17956,230346,"MULTIPOLYGON(((-74.009941702597 40.7259091458596,-74.0090781627161 40.7270426327387,-74.0073510829543 40.7270426327387,-74.0064875430734 40.7259091458596,-74.0073510829543 40.7247756396749,-74.0090781627161 40.7247756396749,-74.009941702597 40.7259091458596)))"
17957,230347,"MULTIPOLYGON(((-74.009941702597 40.7281761003121,-74.0090781627161 40.7293095485798,-74.0073510829543 40.7293095485798,-74.0064875430734 40.7281761003121,-74.0073510829543 40.7270426327387,-74.0090781627161 40.7270426327387,-74.009941702597 40.7281761003121)))"
17958,230348,"MULTIPOLYGON(((-74.009941702597 40.7304429775416,-74.0090781627161 40.7315763871974,-74.0073510829543 40.7315763871974,-74.0064875430734 40.7304429775416,-74.0073510829543 40.7293095485798,-74.0090781627161 40.7293095485798,-74.009941702597 40.7304429775416)))"
17959,230349,"MULTIPOLYGON(((-74.009941702597 40.7327097775471,-74.0090781627161 40.7338431485906,-74.0073510829543 40.7338431485906,-74.0064875430734 40.7327097775471,-74.0073510829543 40.7315763871974,-74.0090781627161 40.7315763871974,-74.009941702597 40.7327097775471)))"
17960,230350,"MULTIPOLYGON(((-74.009941702597 40.7349765003277,-74.0090781627161 40.7361098327584,-74.0073510829543 40.7361098327584,-74.0064875430734 40.7349765003277,-74.0073510829543 40.7338431485906,-74.0090781627161 40.7338431485906,-74.009941702597 40.7349765003277)))"
17961,230351,"MULTIPOLYGON(((-74.009941702597 40.7372431458824,-74.0090781627161 40.7383764396998,-74.0073510829543 40.7383764396998,-74.0064875430734 40.7372431458824,-74.0073510829543 40.7361098327584,-74.0090781627161 40.7361098327584,-74.009941702597 40.7372431458824)))"
17962,230352,"MULTIPOLYGON(((-74.009941702597 40.7395097142104,-74.0090781627161 40.7406429694141,-74.0073510829543 40.7406429694141,-74.0064875430734 40.7395097142104,-74.0073510829543 40.7383764396998,-74.0090781627161 40.7383764396998,-74.009941702597 40.7395097142104)))"
17963,230353,"MULTIPOLYGON(((-74.009941702597 40.7417762053108,-74.0090781627161 40.7429094219003,-74.0073510829543 40.7429094219003,-74.0064875430734 40.7417762053108,-74.0073510829543 40.7406429694141,-74.0090781627161 40.7406429694141,-74.009941702597 40.7417762053108)))"
17964,230354,"MULTIPOLYGON(((-74.009941702597 40.7440426191826,-74.0090781627161 40.7451757971575,-74.0073510829543 40.7451757971575,-74.0064875430734 40.7440426191826,-74.0073510829543 40.7429094219003,-74.0090781627161 40.7429094219003,-74.009941702597 40.7440426191826)))"
17965,230355,"MULTIPOLYGON(((-74.009941702597 40.7463089558248,-74.0090781627161 40.7474420951846,-74.0073510829543 40.7474420951846,-74.0064875430734 40.7463089558248,-74.0073510829543 40.7451757971575,-74.0090781627161 40.7451757971575,-74.009941702597 40.7463089558248)))"
